,Better_Model
0,NB
1,NB
2,P
3,NB
4,P
5,P
6,NB
7,P
8,P
9,P
10,P
11,P
12,P
13,P
14,P
15,P
16,P
17,NB
18,P
19,P
20,P
21,NB
22,P
23,NB
24,NB
25,P
26,P
27,P
28,P
29,P
30,NB
31,P
32,P
33,P
34,P
35,P
36,P
37,P
38,NB
39,P
40,NB
41,P
42,NB
43,P
44,NB
45,P
46,NB
47,P
48,P
49,P
50,NB
51,P
52,P
53,P
54,NB
55,P
56,NB
57,P
58,P
59,P
60,P
61,P
62,P
63,P
64,NB
65,P
66,P
67,P
68,P
69,P
70,P
71,P
72,P
73,P
74,P
75,NB
76,P
77,P
78,P
79,P
80,NB
81,P
82,NB
83,P
84,P
85,P
86,P
87,P
88,P
89,P
90,P
91,NB
92,P
93,P
94,P
95,P
96,P
97,NB
98,P
99,P
100,P
101,P
102,P
103,P
104,P
105,P
106,P
107,P
108,P
109,P
110,P
111,P
112,P
113,P
114,P
115,P
116,P
117,P
118,P
119,P
120,P
121,P
122,P
123,P
124,P
125,P
126,P
127,P
128,P
129,P
130,P
131,P
132,P
133,P
134,P
135,P
136,P
137,P
138,P
139,P
140,P
141,P
142,P
143,P
144,P
145,P
146,P
147,P
148,P
149,P
150,P
151,P
152,P
153,P
154,P
155,P
156,P
157,P
158,P
159,P
160,P
161,P
162,P
163,P
164,P
165,P
166,P
167,P
168,P
169,P
170,P
171,P
172,P
173,P
174,P
175,P
176,P
177,P
178,P
179,P
180,P
181,P
182,P
183,P
184,P
185,P
186,P
187,P
188,P
189,P
190,P
191,P
192,P
193,P
194,P
195,P
196,P
197,P
198,P
199,P
200,P
201,P
202,P
203,P
204,P
205,P
206,P
207,P
208,P
209,P
210,P
211,P
212,P
213,P
214,P
215,P
216,P
217,P
218,P
219,P
220,P
221,P
222,P
223,P
224,P
225,P
226,P
227,P
228,P
229,P
230,P
231,P
232,P
233,P
234,P
235,P
236,P
237,P
238,P
239,P
240,P
241,P
242,P
243,P
244,P
245,P
246,P
247,P
248,P
249,P
250,P
251,P
252,P
253,P
254,P
255,P
256,P
257,P
258,P
259,P
260,P
261,P
262,P
263,P
264,P
265,P
266,P
267,P
268,P
269,P
270,P
271,P
272,P
273,P
274,P
275,P
276,P
277,P
278,P
279,P
280,P
281,P
282,P
283,P
284,P
285,P
286,P
287,P
288,P
289,P
290,P
291,P
292,P
293,P
294,P
295,P
296,P
297,P
298,P
299,P
300,P
301,P
302,P
303,P
304,P
305,P
306,P
307,P
308,P
309,P
310,P
311,P
312,P
313,P
314,P
315,P
316,P
317,P
318,P
319,P
320,P
321,P
322,P
323,P
324,P
325,P
326,P
327,P
328,P
329,P
330,P
331,P
332,P
333,P
334,P
335,P
336,P
337,P
338,P
339,P
340,P
341,P
342,P
343,P
344,P
345,P
346,P
347,P
348,P
349,P
350,P
351,P
352,P
353,P
354,P
355,P
356,P
357,P
358,P
359,P
360,P
361,P
362,P
363,P
364,P
365,P
366,P
367,P
368,P
369,P
370,P
371,P
372,P
373,P
374,P
375,P
376,P
377,P
378,P
379,P
380,P
381,P
382,P
383,P
384,P
385,P
386,P
387,P
388,P
389,P
390,P
391,P
392,P
393,P
394,P
395,P
396,P
397,P
398,P
399,P
400,P
401,P
402,P
403,P
404,P
405,P
406,NB
407,P
408,P
409,P
410,P
411,P
412,P
413,P
414,P
415,P
416,P
417,P
418,P
419,P
420,NB
421,P
422,P
423,P
424,P
425,P
426,P
427,NB
428,P
429,P
430,P
431,P
432,P
433,P
434,P
435,P
436,P
437,P
438,P
439,P
440,P
441,P
442,P
443,P
444,P
445,P
446,P
447,P
448,P
449,P
450,P
451,NB
452,NB
453,P
454,P
455,P
456,P
457,P
458,P
459,P
460,P
461,P
462,P
463,P
464,P
465,P
466,P
467,P
468,NB
469,NB
470,P
471,P
472,P
473,P
474,P
475,P
476,P
477,P
478,P
479,P
480,P
481,NB
482,P
483,P
484,P
485,P
486,P
487,P
488,P
489,P
490,P
491,P
492,P
493,P
494,P
495,P
496,P
497,P
498,P
499,P
