,Actual,Predicted
0,5,4
1,5,3
2,5,4
3,2,2
4,5,3
5,5,4
6,5,4
7,5,3
8,5,3
9,5,4
10,5,3
11,5,3
12,4,2
13,5,4
14,5,2
15,5,4
16,4,3
17,5,4
18,5,4
19,5,3
20,5,3
21,5,3
22,5,4
23,5,3
24,5,4
25,5,4
26,5,4
27,5,3
28,5,4
29,5,4
30,5,4
31,4,2
32,5,4
33,5,3
34,5,3
35,5,3
36,5,4
37,4,4
38,5,4
39,5,4
40,5,3
41,4,3
42,5,4
43,4,3
44,5,3
45,5,3
46,5,3
47,5,3
48,5,4
49,5,3
50,5,4
51,5,4
52,5,4
53,4,2
54,4,4
55,4,2
56,5,3
57,5,4
58,5,3
59,4,3
60,5,2
61,5,3
62,5,4
63,5,2
64,5,3
65,5,3
66,3,2
67,5,4
68,5,3
69,5,4
70,5,2
71,5,3
72,5,3
73,5,4
74,5,5
75,4,3
76,5,3
77,5,4
78,5,4
79,5,3
80,5,4
81,5,3
82,5,4
83,5,3
84,5,4
85,5,3
86,5,3
87,5,3
88,5,4
89,5,3
90,5,4
91,4,2
92,5,3
93,5,3
94,5,4
95,5,2
96,5,3
97,5,3
98,5,3
99,5,3
