,X,Actual,P_val,NB_val
0,0.0,0.0,0.0013506449167860282,0.001486221449289438
1,1.0,0.00848,0.006817098602266565,0.00715440988617383
2,2.0,0.01804,0.017316145529071677,0.017582670080382102
3,3.0,0.03098,0.0297030907290778,0.029601151987082484
4,4.0,0.04436,0.0391762444912816,0.038828735987668866
5,5.0,0.0494,0.04327934628644456,0.04308456721582311
6,6.0,0.05362,0.04306663812362014,0.04320314927070462
7,7.0,0.0591,0.0411917599098031,0.041450669172113354
8,8.0,0.05972,0.03962120157488671,0.03969046586665305
9,9.0,0.05692,0.03884263637161148,0.038634273978423624
10,10.0,0.05402,0.03840036910430192,0.03809072400316586
11,11.0,0.04976,0.03771965823410583,0.037546830243058646
12,12.0,0.04244,0.03654486585489972,0.03660435531024299
13,13.0,0.03536,0.03494782817624919,0.03514833203297812
14,14.0,0.02924,0.033158994733761785,0.03332411838718248
15,15.0,0.02558,0.031429725152150374,0.031432127463314814
16,16.0,0.02516,0.0299805827930422,0.029811509279387468
17,17.0,0.02486,0.028993552897891947,0.028744134087334828
18,18.0,0.02702,0.028597727800426742,0.02838890281080554
19,19.0,0.0255,0.02883479144471165,0.02874918119766433
20,20.0,0.02888,0.029623765451329317,0.029673789037912308
21,21.0,0.03034,0.030752166664808893,0.03088891601352264
22,22.0,0.03062,0.03190699200341029,0.032053552181532115
23,23.0,0.02826,0.03273866700800431,0.03282621945088333
24,24.0,0.02604,0.03293698946559304,0.03292831398507383
25,25.0,0.02536,0.03229529183109983,0.03219064752258932
26,26.0,0.02072,0.03074584561210096,0.03057462984353739
27,27.0,0.0199,0.028360867782430847,0.028166364016253328
28,28.0,0.01586,0.025324202438661396,0.02514850094579972
29,29.0,0.01342,0.021885508467798218,0.021759107714949617
30,30.0,0.01028,0.018310579934044977,0.018248113690791982
31,31.0,0.0086,0.01483911264206331,0.014840317981564474
32,32.0,0.00652,0.011656631878432857,0.011710518383402752
33,33.0,0.00466,0.008882333736319357,0.008972404463383364
34,34.0,0.00324,0.006570680948284634,0.006679590828667245
35,35.0,0.00236,0.004722398937119742,0.0048351940532375065
36,36.0,0.00176,0.003300018276369399,0.003405775097910838
37,37.0,0.00136,0.002243845165074334,0.0023359736911214434
38,38.0,0.00082,0.0014855975344969753,0.001561267319554581
39,39.0,0.00052,0.0009583780029097438,0.0010175289377839134
40,40.0,0.00036,0.0006028125604061086,0.0006471064507505888
41,41.0,0.00034,0.00036991936899982697,0.0004018481017270087
42,42.0,4e-05,0.00022159929876739784,0.00024383988503215014
43,43.0,8e-05,0.00012966170793070382,0.0001446803921933945
44,44.0,8e-05,7.41432501089313e-05,8.400292526187219e-05
45,45.0,0.0,4.145454227045171e-05,4.776362120940887e-05
46,46.0,2e-05,,
