,Curves_Predicted,Minimum_AIC_value,Mu1,Mu2,Mu3,Mu4,Mu5,Coef1,Coef2,Coef3,Coef4,Coef5
16001-d106.indelRealigned,1,-516.469957,76.7378892,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
16001-d1.indelRealigned,1,-554.463684,102.114107,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
CCTP27-d121.indelRealigned,5,-2659.38687,79.3149273,92.1862009,92.1864155,92.1860058,93.5644219,0.5087915,0.99964089,0.99999344,0.99629203,-2.50471786
CCTP27.indelRealigned,1,-308.423721,79.0855308,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
CCTP50-d257.indelRealigned,5,-1664.71949,1.55150855,21.9361147,36.3231723,46.0081232,80.9376704,0.05194624,0.0701453,0.33752277,0.3593137,0.1810719899999999
CCTP50-d409.indelRealigned,5,-1437.19706,22.0516585,33.7206548,44.346264,70.4767991,98.0897265,0.07537457,0.44124377,0.14941865,0.1380151,0.19594791
CCTP50.indelRealigned,5,-906.165137,18.2837447,27.0673046,36.0323151,51.5478389,60.3168874,0.08553904,0.34483669,0.25203009,0.13909322,0.17850096000000007
IFN-R12.indelRealigned,1,-394.553301,96.9936235,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
IFN-R13.indelRealigned,3,-940.390144,58.013706,87.0284661,73.195662,0.0,0.0,0.03974018,0.76286512,0.19739470000000003,0.0,0.0
IFN-R14.indelRealigned,2,-448.923207,105.017919,113.01651,0.0,0.0,0.0,0.36121484,0.6387851600000001,0.0,0.0,0.0
IFN-R15.indelRealigned,2,-514.771554,99.8608266,108.945723,0.0,0.0,0.0,0.42195121,0.57804879,0.0,0.0,0.0
IFN-R18.indelRealigned,1,-392.660244,94.1049422,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
IFN-R19.indelRealigned,1,-398.987205,33.2900986,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
IFN-R20.indelRealigned,4,-1270.8319,42.4790287,57.8137314,76.5976598,92.1002447,0.0,0.03539358,0.06276102,0.20653841,0.69530699,0.0
IFN-R21.indelRealigned,5,-1822.48654,38.3660342,69.2884845,57.0292237,106.24815,126.535986,0.07144914,0.2739932,0.43586838,0.09761496,0.12107432000000004
IFN-R23.indelRealigned,5,-1441.00259,1.00000001,31.3802989,60.36613,44.6976325,71.9175812,0.02015278,0.02401769,0.52538718,0.08663018,0.3438121700000001
IFN-R27.indelRealigned,2,-606.275874,127.364787,139.71657,0.0,0.0,0.0,0.41571526,0.58428474,0.0,0.0,0.0
IFN-R34.indelRealigned,3,-908.22656,53.8603444,69.2420182,82.731472,0.0,0.0,0.04974368,0.26358583,0.68667049,0.0,0.0
IFN-R35.indelRealigned,5,-1559.17239,80.6412646,94.5496858,94.5499036,94.5501195,96.0418922,0.47666964,0.99851033,0.99999307,0.99776739,-2.47294043
IFN-R4.indelRealigned,2,-447.210351,89.5347436,96.1747732,0.0,0.0,0.0,0.37718821,0.62281179,0.0,0.0,0.0
IFN-R6.indelRealigned,2,-433.586155,76.9701542,85.2493194,0.0,0.0,0.0,0.38611845,0.61388155,0.0,0.0,0.0
RCT24-d154.indelRealigned,1,-391.680202,94.4947014,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
RCT24.indelRealigned,5,-169.21379,2.47269419,34.75809,15.0791068,11.6147158,54.34703,0.99999981,0.99999985,0.71298073,0.54560537,-2.25858576
